name,class
三叉神经的运动功能检查,检查诊疗技术
三叉神经的面部感觉检查,检查诊疗技术
三合诊检查,检查诊疗技术
三碘甲状腺原氨酸摄取率,检查诊疗技术
上消化道x线钡餐,检查诊疗技术
上消化道内窥镜检查,检查诊疗技术
上消化道功能测定和显像,检查诊疗技术
上消化道摄影检查,检查诊疗技术
下消化道内镜检查,检查诊疗技术
下颌反射检查,检查诊疗技术
下颌运动检查,检查诊疗技术
不孕不育检查,检查诊疗技术
不孕的血型检查,检查诊疗技术
不稳定性血红蛋白试验,检查诊疗技术
不稳定血红蛋白,检查诊疗技术
不随意运动检查,检查诊疗技术
丙型肝炎rna,检查诊疗技术
丙型肝炎抗体检测抗hcvig,检查诊疗技术
丙型肝炎病毒抗体免疫球蛋白m,检查诊疗技术
丝氨酸,检查诊疗技术
中性炎症细胞吞噬试验,检查诊疗技术
中性粒细胞杀菌试验,检查诊疗技术
中性粒细胞趋化试验,检查诊疗技术
中段尿细菌培养计数,检查诊疗技术
中间细胞mid,检查诊疗技术
乙型肝炎e抗体,检查诊疗技术
乙型肝炎e抗体检查,检查诊疗技术
乙型肝炎e抗原,检查诊疗技术
乙型肝炎核心抗体,检查诊疗技术
乙型肝炎核心抗体免疫球蛋白g,检查诊疗技术
乙型肝炎病毒前s2抗原,检查诊疗技术
乙型肝炎病毒抗前s2抗体,检查诊疗技术
乙型肝炎表面抗体检查,检查诊疗技术
乙型肝炎表面抗原,检查诊疗技术
乙型脑炎病毒抗体,检查诊疗技术
乙肝两对半检查,检查诊疗技术
乙肝病毒学指标,检查诊疗技术
乙醇凝胶试验,检查诊疗技术
乳头溢液检查,检查诊疗技术
乳房摄片,检查诊疗技术
乳房活检,检查诊疗技术
乳房自检检查,检查诊疗技术
乳房视诊,检查诊疗技术
乳房触诊,检查诊疗技术
乳糜尿定性试验,检查诊疗技术
乳糜微粒,检查诊疗技术
乳腺导管内窥镜,检查诊疗技术
乳腺远红外检查,检查诊疗技术
乳酸与丙酮酸比值,检查诊疗技术
乳酸脱氢酶同工酶,检查诊疗技术
二氧化碳分压,检查诊疗技术
二氧化碳总量,检查诊疗技术
二氧化碳总量tco2检查,检查诊疗技术
二氧化碳结合力,检查诊疗技术
二硝基氟苯皮肤试验,检查诊疗技术
二硝基氯苯斑贴试验,检查诊疗技术
五肽胃泌素胃液分析,检查诊疗技术
亚健康人群体检,检查诊疗技术
交叉步行试验,检查诊疗技术
交叉配血试验,检查诊疗技术
交锁征,检查诊疗技术
产后检查,检查诊疗技术
产科检查,检查诊疗技术
人体内的微量元素检测,检查诊疗技术
人体重心平衡仪检查,检查诊疗技术
人巨细胞病毒抗体,检查诊疗技术
人类免疫缺陷病毒抗体,检查诊疗技术
人类轮状病毒抗体,检查诊疗技术
人绒毛膜促性腺激素,检查诊疗技术
人绒毛膜促性腺激素hcg检查,检查诊疗技术
人酸性铁蛋白,检查诊疗技术
介入性宫内取材检查,检查诊疗技术
优球蛋白的溶解时间,检查诊疗技术
伤寒胶乳凝集试验,检查诊疗技术
伦代试验,检查诊疗技术
伦德试验,检查诊疗技术
位听神经检查,检查诊疗技术
低密度脂蛋白胆固醇,检查诊疗技术
低密度脂蛋白胆固醇ldlc,检查诊疗技术
体位变换试验,检查诊疗技术
体位检查,检查诊疗技术
体内血小板活化标志物,检查诊疗技术
体脂肪率检查,检查诊疗技术
促卵泡成熟激素,检查诊疗技术
促甲状腺激素,检查诊疗技术
促甲状腺激素受体抗体,检查诊疗技术
促甲状腺激素释放激素兴奋试验,检查诊疗技术
促甲状腺素释放激素,检查诊疗技术
促肾上腺皮质激素,检查诊疗技术
促黄体生成素lh,检查诊疗技术
偏振光显微镜检查,检查诊疗技术
催乳素,检查诊疗技术
催乳素prl检查,检查诊疗技术
催产素,检查诊疗技术
儿童五官科检查,检查诊疗技术
儿童支气管镜检查,检查诊疗技术
儿童生长发育检测,检查诊疗技术
儿童肺功能检查,检查诊疗技术
儿茶酚胺,检查诊疗技术
先令氏指数,检查诊疗技术
光敏感试验,检查诊疗技术
免疫学检测,检查诊疗技术
免疫抑制酸性蛋白,检查诊疗技术
免疫球蛋白轻链,检查诊疗技术
免疫病理检查,检查诊疗技术
兔感染试验,检查诊疗技术
全血乳酸测定,检查诊疗技术
全血容量,检查诊疗技术
全血比黏度,检查诊疗技术
全血砷,检查诊疗技术
全血糖化hb,检查诊疗技术
全血还原黏度,检查诊疗技术
全血铁,检查诊疗技术
全血铅,检查诊疗技术
全血锰,检查诊疗技术
全血镍,检查诊疗技术
全血黏度,检查诊疗技术
全身骨骼疾病排查,检查诊疗技术
共济失调的检查,检查诊疗技术
关节检查,检查诊疗技术
关节腔液检查,检查诊疗技术
内生殖器检查,检查诊疗技术
内生肌酐清除率,检查诊疗技术
内生肌酐清除率检查,检查诊疗技术
内皮素,检查诊疗技术
内镜逆行胆胰管造影术,检查诊疗技术
军团菌血清学试验,检查诊疗技术
冠状动脉造影检查,检查诊疗技术
冷凝集试验检查,检查诊疗技术
冷溶血试验,检查诊疗技术
凝血因子ⅹiii定性测定,检查诊疗技术
凝血因子活性测定,检查诊疗技术
凝血因子活性测定因子ⅷ∶cⅸ∶c,检查诊疗技术
凝血时间,检查诊疗技术
凝血时间检查,检查诊疗技术
凝血酶原时间,检查诊疗技术
凝血酶时间,检查诊疗技术
凝血酶时间检查,检查诊疗技术
出血时间,检查诊疗技术
分侧肾静脉肾素活性测定,检查诊疗技术
刚果红试验,检查诊疗技术
刮宫术d和c,检查诊疗技术
前s抗体,检查诊疗技术
前s抗体检查,检查诊疗技术
前列腺b超检查,检查诊疗技术
前列腺指检,检查诊疗技术
前列腺液中淀粉样体,检查诊疗技术
前列腺液中细菌和原虫,检查诊疗技术
前列腺液卵磷脂小体,检查诊疗技术
前列腺液显微镜检查,检查诊疗技术
前列腺液细胞,检查诊疗技术
前列腺特异性抗原,检查诊疗技术
前列腺特异性抗原检查,检查诊疗技术
前列腺特异性酸性磷酸酶,检查诊疗技术
前列腺特异性酸性磷酸酶检查,检查诊疗技术
前列腺精囊腺的超声检查,检查诊疗技术
前房深度测量,检查诊疗技术
前房的一般检查,检查诊疗技术
前房角镜检查法,检查诊疗技术
前房轴深检查法,检查诊疗技术
前置镜检查,检查诊疗技术
剖胸术,检查诊疗技术
剩余碱,检查诊疗技术
副流感病毒抗体,检查诊疗技术
功能性肝脏体积测定,检查诊疗技术
动态心电图holter监测,检查诊疗技术
动态血压监测abpm,检查诊疗技术
动态视野检查,检查诊疗技术
动脉听诊,检查诊疗技术
动脉注射颜料对比试验,检查诊疗技术
动脉血氧分压pao2,检查诊疗技术
动脉血酮体比测定,检查诊疗技术
动静脉瘘定位试验,检查诊疗技术
包虫病补体结合试验,检查诊疗技术
十二指肠引流一般性状检查,检查诊疗技术
十二指肠引流显微镜检查,检查诊疗技术
十二指肠引流胰蛋白酶,检查诊疗技术
十二指肠液和胆汁寄生虫检查,检查诊疗技术
十二指肠胃反流测定和显像,检查诊疗技术
十二烷基硫酸钠hb测定法,检查诊疗技术
午夜一片法地塞米松抑制试验,检查诊疗技术
半乳糖血症筛查,检查诊疗技术
半饱和氧分压,检查诊疗技术
华wassermann氏补体结合试验,检查诊疗技术
单克隆丙种球蛋白,检查诊疗技术
单纯疱疹病毒抗体,检查诊疗技术
单纯疱疹病毒抗体检查,检查诊疗技术
单胺氧化酶,检查诊疗技术
卵巢功能检查,检查诊疗技术
卵巢检查,检查诊疗技术
压平眼压计测量法,检查诊疗技术
压痛及反跳痛,检查诊疗技术
厌氧菌的分离与鉴定,检查诊疗技术
原地踏步试验,检查诊疗技术
去氨加压素检查,检查诊疗技术
去甲3甲氧肾上腺素,检查诊疗技术
去铁胺试验,检查诊疗技术
双合诊检查,检查诊疗技术
反三碘甲状腺原氨酸,检查诊疗技术
反击征,检查诊疗技术
反映肝脏排泄功能的试验,检查诊疗技术
反跳试验,检查诊疗技术
发育与体型检查,检查诊疗技术
变性球蛋白heinz小体生成试验,检查诊疗技术
叠氮高铁血红蛋白,检查诊疗技术
口形红细胞,检查诊疗技术
口形红细胞检查,检查诊疗技术
口服法小肠造影,检查诊疗技术
口服法胆道造影,检查诊疗技术
口服葡萄糖耐量试验检查,检查诊疗技术
口腔美容,检查诊疗技术
可溶性白细胞介素2受体,检查诊疗技术
可溶性转铁蛋白受体测定,检查诊疗技术
叶酸,检查诊疗技术
后穹窿穿刺术,检查诊疗技术
吞咽试验,检查诊疗技术
吞噬白色念珠菌功能试验,检查诊疗技术
吞噬鸡红细胞功能试验,检查诊疗技术
吡啶斯的明兴奋gh试验,检查诊疗技术
听力检查,检查诊疗技术
听力检查法检查,检查诊疗技术
听力测试法检查,检查诊疗技术
吲哚氰绿试验,检查诊疗技术
周围血白细胞计数及分类检验,检查诊疗技术
呼吸动度检查,检查诊疗技术
呼吸运动检查,检查诊疗技术
呼吸道合胞病毒抗体,检查诊疗技术
呼吸道合胞病毒抗体检查,检查诊疗技术
呼吸道粘液纤毛清除功能测定,检查诊疗技术
呼气流速,检查诊疗技术
唾液ph值,检查诊疗技术
唾液ph值检查,检查诊疗技术
唾液中的细胞,检查诊疗技术
唾液分泌型免疫球蛋白,检查诊疗技术
唾液富组蛋白,检查诊疗技术
唾液富酪蛋白,检查诊疗技术
唾液尿素氮,检查诊疗技术
唾液白蛋白,检查诊疗技术
唾液皮质醇,检查诊疗技术
唾液皮质醇检查,检查诊疗技术
唾液睾酮,检查诊疗技术
唾液碳酸氢盐,检查诊疗技术
唾液钠钾比值,检查诊疗技术
唾液黏蛋白,检查诊疗技术
嗅神经检查,检查诊疗技术
嗜中性分叶核粒细胞数,检查诊疗技术
嗜中性杆状粒细胞数,检查诊疗技术
嗜中性粒细胞核鼓槌小体,检查诊疗技术
嗜异性凝集吸收试验,检查诊疗技术
嗜碱性点彩红细胞,检查诊疗技术
嗜碱性粒细胞数,检查诊疗技术
嗜酸性粒细胞数,检查诊疗技术
囊虫胶乳凝集试验,检查诊疗技术
四肢ct检查,检查诊疗技术
四肢与关节运动功能检查,检查诊疗技术
四肢的骨和关节平片检查,检查诊疗技术
固相酶免疫测定技术,检查诊疗技术
国际标准智力测试,检查诊疗技术
图形觉,检查诊疗技术
土拉伦斯杆菌凝集试验,检查诊疗技术
地塞米松抑制试验检查,检查诊疗技术
垂体后叶素检查,检查诊疗技术
埃可病毒抗体,检查诊疗技术
基因诊断技术检测梅毒螺旋体,检查诊疗技术
基础代谢检查,检查诊疗技术
基础胃液分泌量,检查诊疗技术
基础胃液分泌量检查,检查诊疗技术
基础胃液分泌量高峰胃液分泌量,检查诊疗技术
声阻抗检查,检查诊疗技术
复合感觉检查,检查诊疗技术
复方碘试验,检查诊疗技术
复钙交叉试验,检查诊疗技术
复钙时间,检查诊疗技术
外斐二氏反应,检查诊疗技术
外生殖器检查,检查诊疗技术
外科检查,检查诊疗技术
外耳检查,检查诊疗技术
外耳道检查,检查诊疗技术
外阴部妇科常规检查,检查诊疗技术
多导睡眠图检查,检查诊疗技术
多普勒小儿血压检测,检查诊疗技术
多染性红细胞,检查诊疗技术
天门冬氨酸,检查诊疗技术
头皮检查,检查诊疗技术
头面部触诊,检查诊疗技术
头颅形状,检查诊疗技术
头颅运动,检查诊疗技术
妇科检查,检查诊疗技术
妇科炎症检查,检查诊疗技术
妇科的保健体检,检查诊疗技术
妊娠相关血浆蛋白a,检查诊疗技术
妊娠试验,检查诊疗技术
姐妹染色单体互换检查,检查诊疗技术
威廉征,检查诊疗技术
婴儿智力测试,检查诊疗技术
婴幼儿健康检查,检查诊疗技术
婴幼儿呼吸检查,检查诊疗技术
婴幼儿测量身长,检查诊疗技术
婴幼儿肌肉骨骼系统检查,检查诊疗技术
子宫内膜活检,检查诊疗技术
子宫及附件检查,检查诊疗技术
子宫疾病自检,检查诊疗技术
子宫输卵管造影检查,检查诊疗技术
子宫颈活检,检查诊疗技术
子宫颈黏液检查,检查诊疗技术
子母胰管镜检查,检查诊疗技术
孕激素检查,检查诊疗技术
孕激素试验,检查诊疗技术
孕酮,检查诊疗技术
孢子丝菌凝集试验,检查诊疗技术
定量肝功能试验,检查诊疗技术
实体觉,检查诊疗技术
实际碳酸氢盐,检查诊疗技术
宫腔细菌培养,检查诊疗技术
宫腔镜检查,检查诊疗技术
宫颈分泌物培养,检查诊疗技术
宫颈妇科常规检查,检查诊疗技术
宫颈检查,检查诊疗技术
宫颈粘液检查,检查诊疗技术
寄生虫感染免疫检测,检查诊疗技术
寄生虫检查的定量透明法,检查诊疗技术
寄生虫检查的浓聚法,检查诊疗技术
寄生虫检查的直接涂片法,检查诊疗技术
寄生虫血液检查,检查诊疗技术
密螺旋体活动试验,检查诊疗技术
寒冷凝集试验,检查诊疗技术
寒冷性升压试验,检查诊疗技术
对数视力表检查,检查诊疗技术
对氨马尿酸清除率,检查诊疗技术
导尿术检查,检查诊疗技术
小儿心搏呼吸骤停与心肺复苏术,检查诊疗技术
小气脑ct扫描,检查诊疗技术
小气道功能检查,检查诊疗技术
小白鼠毒力试验,检查诊疗技术
小肠镜检查,检查诊疗技术
尿17羟皮质类固醇,检查诊疗技术
尿17酮类固醇,检查诊疗技术
尿17酮类固醇检查,检查诊疗技术
尿5羟吲哚乙酸,检查诊疗技术
尿6酮前列素f1a,检查诊疗技术
尿co2测定,检查诊疗技术
尿c肽,检查诊疗技术
尿n乙酰βd氨基葡萄糖苷酶,检查诊疗技术
尿n甲基烟酰胺,检查诊疗技术
尿th蛋白,检查诊疗技术
尿α葡萄糖苷酶检查,检查诊疗技术
尿β2微球蛋白,检查诊疗技术
尿β羟丁酸,检查诊疗技术
尿γ谷氨酰转移酶,检查诊疗技术
尿δ氨基γ酮基戊酸,检查诊疗技术
尿三杯试验,检查诊疗技术
尿三杯试验检查,检查诊疗技术
尿三胆检查,检查诊疗技术
尿中包涵体检查,检查诊疗技术
尿中寄生虫检查,检查诊疗技术
尿乳糖,检查诊疗技术
尿亚硝酸盐,检查诊疗技术
尿亮氨酸,检查诊疗技术
尿亮氨酸检查,检查诊疗技术
尿亮氨酸氨基肽酶,检查诊疗技术
尿亮氨酸氨基肽酶检查,检查诊疗技术
尿促卵泡成熟素,检查诊疗技术
尿促卵泡成熟素检查,检查诊疗技术
尿前列腺素,检查诊疗技术
尿半乳糖,检查诊疗技术
尿卟啉,检查诊疗技术
尿卟胆原,检查诊疗技术
尿卟胆原检查,检查诊疗技术
尿去氢异雄酮,检查诊疗技术
尿去氢异雄酮检查,检查诊疗技术
尿含铁血红黄素,检查诊疗技术
尿多巴胺,检查诊疗技术
尿多巴胺检查,检查诊疗技术
尿失禁诱发试验,检查诊疗技术
尿妊娠胶乳凝集抑制试验,检查诊疗技术
尿孕酮p检查,检查诊疗技术
尿对羟苯丙酮酸,检查诊疗技术
尿对羟苯丙酮酸检查,检查诊疗技术
尿尿素,检查诊疗技术
尿尿酸,检查诊疗技术
尿常规检查,检查诊疗技术
尿微量清蛋白,检查诊疗技术
尿微量转铁蛋白检查,检查诊疗技术
尿总氮,检查诊疗技术
尿总氮检查,检查诊疗技术
尿戊糖,检查诊疗技术
尿戊糖检查,检查诊疗技术
尿早早孕试验,检查诊疗技术
尿果糖,检查诊疗技术
尿比重,检查诊疗技术
尿比重3h试验,检查诊疗技术
尿氟,检查诊疗技术
尿氨基酸氮,检查诊疗技术
尿氨氮,检查诊疗技术
尿氯,检查诊疗技术
尿氯检查,检查诊疗技术
尿汞,检查诊疗技术
尿沉渣12小时计数,检查诊疗技术
尿沉渣3小时计数,检查诊疗技术
尿沉渣上皮细胞检查,检查诊疗技术
尿沉渣检查,检查诊疗技术
尿沉渣管型,检查诊疗技术
尿沉渣管型检查,检查诊疗技术
尿沉渣红细胞检查,检查诊疗技术
尿沉渣细胞学,检查诊疗技术
尿沉渣细胞学检查,检查诊疗技术
尿沉渣结晶,检查诊疗技术
尿沉渣结晶检查,检查诊疗技术
尿流率测定,检查诊疗技术
尿浓缩试验,检查诊疗技术
尿液去甲肾上腺素,检查诊疗技术
尿液去甲肾上腺素检查,检查诊疗技术
尿液标本的细菌学检验检查,检查诊疗技术
尿液浓缩稀释试验,检查诊疗技术
尿液病原体检查,检查诊疗技术
尿液细胞学检查,检查诊疗技术
尿液细菌培养检查,检查诊疗技术
尿液细菌学检查,检查诊疗技术
尿液镜检法检查,检查诊疗技术
尿液雌三醇,检查诊疗技术
尿液雌二醇,检查诊疗技术
尿液雌二醇检查,检查诊疗技术
尿液颜色,检查诊疗技术
尿淀粉酶,检查诊疗技术
尿渗透压,检查诊疗技术
尿渗透压检查,检查诊疗技术
尿游离皮质醇,检查诊疗技术
尿环磷酸腺苷,检查诊疗技术
尿环磷酸腺苷检查,检查诊疗技术
尿瓜氨酸,检查诊疗技术
尿瓜氨酸检查,检查诊疗技术
尿白蛋白清除率检查,检查诊疗技术
尿睾酮,检查诊疗技术
尿睾酮检查,检查诊疗技术
尿砷检查,检查诊疗技术
尿硒检查,检查诊疗技术
尿碘,检查诊疗技术
尿碘i检查,检查诊疗技术
尿碱性磷酸酶,检查诊疗技术
尿糖,检查诊疗技术
尿素检查,检查诊疗技术
尿素氮检查,检查诊疗技术
尿素清除率ucl,检查诊疗技术
尿素清除率ucl检查,检查诊疗技术
尿红细胞位相检查,检查诊疗技术
尿纤维蛋白降解产物检查,检查诊疗技术
尿结晶检查,检查诊疗技术
尿维生素b1,检查诊疗技术
尿维生素b2,检查诊疗技术
尿维生素b6,检查诊疗技术
尿维生素c,检查诊疗技术
尿羟脯氨酸,检查诊疗技术
尿肌红蛋白,检查诊疗技术
尿肌酐,检查诊疗技术
尿肌酐检查,检查诊疗技术
尿肌酸,检查诊疗技术
尿肾上腺素,检查诊疗技术
尿肾上腺素检查,检查诊疗技术
尿胃蛋白酶,检查诊疗技术
尿胃蛋白酶原,检查诊疗技术
尿胆原,检查诊疗技术
尿胆汁酸,检查诊疗技术
尿胆汁酸检查,检查诊疗技术
尿胆素,检查诊疗技术
尿胆红素,检查诊疗技术
尿脂肪,检查诊疗技术
尿苦杏仁酸,检查诊疗技术
尿苦杏仁酸检查,检查诊疗技术
尿苯丙酸试验,检查诊疗技术
尿草酸盐,检查诊疗技术
尿蛋白定量,检查诊疗技术
尿蛋白质,检查诊疗技术
尿血红蛋白定性,检查诊疗技术
尿血红蛋白定性检查,检查诊疗技术
尿谷氨酰胺,检查诊疗技术
尿谷氨酰胺检查,检查诊疗技术
尿谷草转移酶检查,检查诊疗技术
尿透明度,检查诊疗技术
尿道冲洗试验,检查诊疗技术
尿道分泌物检查,检查诊疗技术
尿道功能检查,检查诊疗技术
尿道口检查,检查诊疗技术
尿道抬举试验,检查诊疗技术
尿酚红排泄试验psp,检查诊疗技术
尿酮体试验,检查诊疗技术
尿酸度,检查诊疗技术
尿酸度检查,检查诊疗技术
尿醛固酮,检查诊疗技术
尿醛固酮检查,检查诊疗技术
尿量检查,检查诊疗技术
尿钾,检查诊疗技术
尿铅,检查诊疗技术
尿铍,检查诊疗技术
尿铍检查,检查诊疗技术
尿铜,检查诊疗技术
尿铜蓝蛋白,检查诊疗技术
尿锌,检查诊疗技术
尿镁,检查诊疗技术
尿镉,检查诊疗技术
尿隐血,检查诊疗技术
尿黄体生成素,检查诊疗技术
尿黑素,检查诊疗技术
局部淋巴显象,检查诊疗技术
层粘连蛋白,检查诊疗技术
屏息试验,检查诊疗技术
左旋多巴兴奋gh试验,检查诊疗技术
左肾静脉胡桃夹综合征检查,检查诊疗技术
巨噬细胞或白细胞移动抑制试验mmit,检查诊疗技术
巨噬细胞移动抑制试验,检查诊疗技术
巨淀粉酶,检查诊疗技术
巩膜检查法,检查诊疗技术
已糖胺全酶,检查诊疗技术
巴氏pap阴道细胞涂片检查,检查诊疗技术
布氏杆菌凝集试验,检查诊疗技术
带状光检影法,检查诊疗技术
常规小瞳孔检查,检查诊疗技术
常量元素检查,检查诊疗技术
干扰素,检查诊疗技术
平均红细胞血红蛋白含量mch,检查诊疗技术
平均红细胞血红蛋白浓度mchc,检查诊疗技术
平衡法放射性核素心血管造影erna,检查诊疗技术
年龄检查,检查诊疗技术
并殖吸虫后尾蚴膜反应,检查诊疗技术
幽门螺旋杆菌的免疫学检测,检查诊疗技术
幽门螺旋杆菌的直接检查,检查诊疗技术
幽门螺旋杆菌血清学测试,检查诊疗技术
康氏反应,检查诊疗技术
异常红细胞形态检查,检查诊疗技术
异形嗜中性粒细胞,检查诊疗技术
异柠檬酸脱氢酶,检查诊疗技术
弓形体抗体测定,检查诊疗技术
弓形体筛选,检查诊疗技术
弓形虫点免疫金渗滤法,检查诊疗技术
循环免疫复合物,检查诊疗技术
微量元素中毒检测,检查诊疗技术
心包切开术后综合征,检查诊疗技术
心包积液检查,检查诊疗技术
心排血量co,检查诊疗技术
心电图检查,检查诊疗技术
心脏血管超声检查,检查诊疗技术
心脏骤停与心肺脑复苏,检查诊疗技术
心血管mri检查,检查诊疗技术
心血管造影检查,检查诊疗技术
心钠素,检查诊疗技术
心音图检查,检查诊疗技术
必需微量元素检测,检查诊疗技术
必需氨基酸检查,检查诊疗技术
快速血浆反应素,检查诊疗技术
快速血浆反应素环状卡片试验,检查诊疗技术
急性肾功能衰竭诊断试验,检查诊疗技术
性传播疾病免疫检测,检查诊疗技术
性别观察,检查诊疗技术
性激素六项检查,检查诊疗技术
性激素结合蛋白,检查诊疗技术
总三碘甲状腺原氨酸tt3,检查诊疗技术
总甲状腺素,检查诊疗技术
总胆汁酸,检查诊疗技术
惟一氮源试验,检查诊疗技术
感染免疫检测,检查诊疗技术
戊型肝炎抗体抗heigm,检查诊疗技术
手术后膈疝,检查诊疗技术
扫描电子显微镜检查,检查诊疗技术
抗ena抗体检查,检查诊疗技术
抗jo1抗体,检查诊疗技术
抗ku抗体,检查诊疗技术
抗pm1抗体,检查诊疗技术
抗rnp抗体,检查诊疗技术
抗sa抗体,检查诊疗技术
抗scl70抗体,检查诊疗技术
抗sm抗体,检查诊疗技术
抗ssaro抗体,检查诊疗技术
抗ssa和ssb抗体检查,检查诊疗技术
抗ssbla抗体,检查诊疗技术
抗u1rnp抗体,检查诊疗技术
抗丁型肝炎病毒igm抗体,检查诊疗技术
抗丙型肝炎病毒iga抗体,检查诊疗技术
抗丙型肝炎病毒iga抗体检查,检查诊疗技术
抗中性粒细胞胞浆,检查诊疗技术
抗乙酰胆碱受体抗体,检查诊疗技术
抗人球蛋白试验,检查诊疗技术
抗人球蛋白试验检查,检查诊疗技术
抗体依赖性细胞k细胞毒性,检查诊疗技术
抗内因子抗体,检查诊疗技术
抗内皮细胞抗体,检查诊疗技术
抗军团菌抗体试验,检查诊疗技术
抗凝血活性试验,检查诊疗技术
抗凝血酶iii活性和抗凝血酶iii抗原检查,检查诊疗技术
抗凝血酶ⅲ,检查诊疗技术
抗利尿激素,检查诊疗技术
抗利尿激素检查,检查诊疗技术
抗单链dnassdna抗体,检查诊疗技术
抗双链dna抗体,检查诊疗技术
抗双链dna抗体检查,检查诊疗技术
抗子宫内膜抗体,检查诊疗技术
抗巨细胞病毒igm抗体,检查诊疗技术
抗平滑肌抗体,检查诊疗技术
抗幽门杆菌igg抗体,检查诊疗技术
抗幽门杆菌igg抗体检查,检查诊疗技术
抗庚型肝炎病毒e2抗体,检查诊疗技术
抗心磷脂抗体,检查诊疗技术
抗心磷脂抗体检查,检查诊疗技术
抗心肌抗体,检查诊疗技术
抗心肌细胞膜抗体,检查诊疗技术
抗心肌细胞膜抗体检查,检查诊疗技术
抗戊型肝炎病毒igg抗体检查,检查诊疗技术
抗戊型肝炎病毒抗体,检查诊疗技术
抗戊型肝炎病毒抗体检查,检查诊疗技术
抗柯萨奇b病毒igg抗体,检查诊疗技术
抗核仁抗体,检查诊疗技术
抗核仁核糖核酸rna抗体,检查诊疗技术
抗核抗体ana或抗核因子anf,检查诊疗技术
抗核苷酶试验,检查诊疗技术
抗桥粒自身抗体检查,检查诊疗技术
抗流行性乙型脑炎病毒igm抗体,检查诊疗技术
抗流行性出血热igm抗体,检查诊疗技术
抗浸出性核抗原ena抗体,检查诊疗技术
抗溶血性链球菌o试验,检查诊疗技术
抗热休克蛋白60抗体,检查诊疗技术
抗球蛋白试验coombs试验,检查诊疗技术
抗甲状腺微粒体抗体,检查诊疗技术
抗甲状腺微粒体抗体atma,检查诊疗技术
抗甲状腺球蛋白抗体,检查诊疗技术
抗甲状腺过氧化物酶抗体,检查诊疗技术
抗甲状腺过氧化物酶自身抗体,检查诊疗技术
抗登革病毒igg抗体,检查诊疗技术
抗磷脂抗体,检查诊疗技术
